domain,title,ip,server,encode
ebus.tncg.gov.tw,大台南公車,210.241.103.238,Microsoft-IIS/8.5,utf8
trail.forest.gov.tw,,223.200.90.182,BigIP,utf8
apmis.epa.gov.tw,,223.200.80.94,,utf8
ainq.epa.gov.tw,,,,utf8
apmistest.epa.gov.tw,,223.200.80.96,,utf8
ghgregistry.epa.gov.tw,行政院環境保護署國家溫室氣體登錄平台,223.200.80.30,Microsoft-IIS/8.5,big5
i.taipei.gov.tw,"網路市民 會員中心",163.29.36.94,Microsoft-IIS/7.5,utf8
wisearch.taipei.gov.tw,,163.29.36.77,Varnish,utf8
www.e-services.taipei.gov.tw,臺北市民e點通,163.29.36.48,Microsoft-IIS/6.0,big5
www.voip.taipei.gov.tw,"Web Call",163.29.36.15,Microsoft-IIS/5.0,utf8
1999.taipei.gov.tw,1999市民當家熱線服務網,163.29.36.30,Microsoft-IIS/5.0,utf8
www.taipei.gov.tw,臺北市政府,163.29.36.96,Microsoft-IIS/7.5,utf8
kids.water.gov.tw,小水滴妙世界,211.79.149.115,,big5
mobile.water.gov.tw,台灣自來水公司行動版網站,211.79.149.36,Microsoft-IIS/7.5,utf8
search.water.gov.tw,"Openfind Enterprise Search - Error",211.79.149.114,,utf8
ebill.water.gov.tw,導回自來水首頁,124.219.11.1,Apache-Coyote/1.1,utf8
newebill.water.gov.tw,台灣自來水公司電子帳單服務系統,124.219.51.100,Apache-Coyote/1.1,utf8
ai.baphiq.gov.tw,禽流感資訊專區-動植物防疫檢疫局,163.29.152.15,"Apache/2.2.15 (CentOS)",utf8
1910.water.gov.tw,,211.79.149.103,,utf8
epaper.wra.gov.tw,歡迎光臨水利署電子報,210.69.128.186,Microsoft-IIS/7.5,utf8
eng.wra.gov.tw,"News - Water Resources Agency, Ministry of Economic Affairs",210.69.128.44,Microsoft-IIS/7.5,utf8
m.wra.gov.tw,水利署行動化資訊平台,117.56.10.71,Microsoft-IIS/7.5,utf8
kid.wra.gov.tw,"經濟部水利署 小小水博士",117.56.10.71,Microsoft-IIS/7.5,utf8
wralaw.wra.gov.tw,"Apache Tomcat",210.69.128.21,Apache-Coyote/1.1,utf8
opendata.wra.gov.tw,歡迎光臨水資料應用平臺,117.56.10.77,Microsoft-IIS/7.5,utf8
www.wra10.gov.tw,水利署第十河川局,210.69.129.40,Microsoft-IIS/7.5,utf8
select.wra.gov.tw,經濟部水利署甄選報名系統,210.69.128.65,,utf8
cmp.wra.gov.tw,"經濟部水利署流域綜合治理計畫專屬網站 Water Resources Agency, Ministry of Economic Affairs",210.69.128.44,Microsoft-IIS/7.5,utf8
climatechange.wra.gov.tw,氣候變遷水環境知識庫,61.219.40.170,Microsoft-IIS/7.0,utf8
www3.wracb.gov.tw,"中區水資源局 / 湖山水庫工程計畫",210.69.129.165,Microsoft-IIS/6.0,big5
www.wrasb.gov.tw,南區水資源局,210.69.129.223,Microsoft-IIS/7.5,big5
www.wranb.gov.tw,經濟部水利署北區水資源局全球資訊網,210.69.129.130,Microsoft-IIS/8.5,utf8
e-river.wra.gov.tw,e河川知識服務網,210.69.128.93,Microsoft-IIS/7.5,utf8
gic.wra.gov.tw,,210.69.128.97,Microsoft-IIS/7.5,utf8
ems03.epa.gov.tw,行政院環保署環境保護許可管理資訊系統,223.200.80.71,Microsoft-IIS/8.5,utf8
basel.epa.gov.tw,":::歡迎光臨 巴塞爾公約宣導網站:::",223.200.80.168,Microsoft-IIS/8.5,big5
medwaste.epa.gov.tw,行政院-環保署-醫療廢棄物宣導網,223.200.80.168,Microsoft-IIS/8.5,utf8
waste24.epa.gov.tw,IIS7,223.200.80.45,Microsoft-IIS/7.5,utf8
gps.epa.gov.tw,環保署GPS即時追蹤系統,223.200.80.17,Microsoft-IIS/8.5,big5
www.ncc.gov.tw,國家通訊傳播委員會,211.79.138.106,,utf8
file.data.gov.tw,政府資料開放平臺,117.56.91.34,"Apache/2.2.15 (CentOS)",utf8
m.data.gov.tw,政府資料開放平臺,117.56.91.34,"Apache/2.2.15 (CentOS)",utf8
map.tgos.nat.gov.tw,,210.61.13.86,Microsoft-IIS/7.5,utf8
exam.taiwanjobs.gov.tw,,163.29.199.92,Microsoft-IIS/8.5,utf8
agent.wda.gov.tw,,117.56.83.64,,utf8
www.ib.gov.tw,保險局全球資訊網,163.29.133.25,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e mod_jk/1.2.37",utf8
www.et.nat.gov.tw,,,,utf8
www2.evta.gov.tw,"就業好伙伴 電子報月刊 /「就業安全」半年刊",117.56.83.23,Microsoft-IIS/6.0,big5
www.bhp.doh.gov.tw,,,,utf8
thinktank.www.gov.tw,"政府入口網 - 公共政策大家談",117.56.68.41,Apache,utf8
search.thinktank.nat.gov.tw,"Hysearch 網頁檢索管理 --- 錯誤訊息",210.241.21.171,Microsoft-IIS/6.0,utf8
www.health.gov.tw,臺北市政府衛生局,210.69.108.181,Microsoft-IIS/8.5,utf8
www.land.nat.gov.tw,"HiNet 地政服務",210.71.181.19,Microsoft-IIS/7.5,utf8
etrain.land.moi.gov.tw,"不動產專業人員訓練服務網 - 首頁",210.69.87.40,Microsoft-IIS/6.0,utf8
glrs.moi.gov.tw,內政部-主管法規查詢系統(外部版),210.69.35.12,Microsoft-IIS/7.0,utf8
trpmsadm.cpami.gov.tw,"Microsoft Internet Information Services 8",210.69.84.27,Microsoft-IIS/8.0,utf8
trpadm.cpami.gov.tw,,210.69.84.27,,utf8
mp.cpami.gov.tw,"回首頁 | 都會公園",210.69.204.113,"Apache/2.2.15 (Scientific Linux)",utf8
taichungmp.cpami.gov.tw,臺中都會公園,210.69.84.27,Microsoft-IIS/6.0,utf8
citybus.taichung.gov.tw,"臺中市 公車到站時間查詢",117.56.85.168,Apache,utf8
reflect.ysnp.gov.tw,玉山國家公園-首長信箱園地,210.69.107.27,Microsoft-IIS/6.0,utf8
mountain.ysnp.gov.tw,玉山國家公園生態保護區,210.69.84.113,Microsoft-IIS/7.5,utf8
e-school.ysnp.gov.tw,歡迎近入【玉山E學苑E-Schoo-l學習測驗系統】,210.69.107.15,Microsoft-IIS/6.0,utf8
old.taroko.gov.tw,,,,utf8
apply.spnp.gov.tw,,,,utf8
npm.cpami.gov.tw,臺灣國家公園入園入山線上申請服務網,210.69.84.113,Microsoft-IIS/8.5,utf8
www.marine.gov.tw,海洋國家公園管理處,210.69.84.113,"Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16",utf8
video.coa.gov.tw,農業虛擬博物館,210.69.75.44,"Apache/2.2.27 (Unix) PHP/5.2.16",utf8
taiwanimage.gio.gov.tw,,,,utf8
eng.coa.gov.tw,"Council of Agriculture, Executive Yuan, R.O.C.(Taiwan)",210.69.75.121,Apache,utf8
kids.coa.gov.tw,歡迎光臨農業兒童網,210.69.75.121,Apache,big5
theme.coa.gov.tw,台灣農業故事館-行政院農業委員會,210.69.75.121,Apache,big5
www.fa.gov.tw,"行政院農委會漁業署 - 漁業資訊服務網",210.241.13.253,Microsoft-IIS/7.0,utf8
data.coa.gov.tw,行政院農業委員會資料開放平台,210.69.75.164,Microsoft-IIS/7.5,utf8
chiefsuit.coa.gov.tw,農委會首長信箱系統,210.69.75.152,Apache-Coyote/1.1,big5
law.coa.gov.tw,行政院農業委員會-主管法規查詢系統(外部版),210.69.75.80,Microsoft-IIS/8.5,utf8
doie.coa.gov.tw,農田水利入口網,163.13.226.61,Microsoft-IIS/8.5,utf8
talis.coa.gov.tw,"首頁 - 臺灣農地資訊服務網 TALIS",210.69.75.163,Microsoft-IIS/8.5,utf8
project.coa.gov.tw,農業計畫管理系統,210.69.75.54,Apache-Coyote/1.1,big5
agbio.coa.gov.tw,"AGBIO - 農業生技產業資訊網",210.69.75.98,Microsoft-IIS/7.5,utf8
agtech.coa.gov.tw,,60.251.15.211,,utf8
cmp.swcb.gov.tw,水保局流域綜合治理計畫,210.69.127.21,Microsoft-IIS/8.5,utf8
www.tfri.gov.tw,行政院農業委員會林業試驗所,210.69.175.85,,utf8
tesri.tesri.gov.tw,,61.60.53.184,"Apache/2.2.3 (CentOS)",utf8
whgis.nlsc.gov.tw,國土測繪資訊整合流通倉儲服務網站,210.69.91.79,Microsoft-IIS/7.5,utf8
eservice.nlsc.gov.tw,"內政部國土測繪中心－測繪圖資整合資料查詢申購入口網 [登入]",210.69.91.52,Microsoft-IIS/7.5,utf8
www.egnss.nlsc.gov.tw,e-GNSS即時動態定位系統,210.241.63.200,Microsoft-IIS/7.0,utf8
sicl.nlsc.gov.tw,測量儀器校正實驗室,210.69.91.60,Microsoft-IIS/7.5,utf8
maps.nlsc.gov.tw,國土測繪圖資網路地圖服務,117.56.11.134,Apache,utf8
bmap.nlsc.gov.tw,"NGIS基本地形圖資料庫分組網站 - 最新消息",210.69.91.9,Microsoft-IIS/8.0,utf8
track.egnss.nlsc.gov.tw,IIS7,210.241.62.133,Microsoft-IIS/7.0,utf8
ldcheck.nlsc.gov.tw,,210.69.91.62,Microsoft-IIS/7.0,utf8
pesticide.baphiq.gov.tw,,163.29.152.85,Microsoft-IIS/7.5,utf8
eiqs.baphiq.gov.tw,業者網路申報系統,163.29.152.93,Microsoft-IIS/7.0,utf8
pet-epermit.baphiq.gov.tw,,163.29.152.26,,utf8
am.baphiq.gov.tw,IIS7,163.29.152.41,Microsoft-IIS/7.5,utf8
ezland.coa.gov.tw,農地銀行網站,210.69.75.76,Microsoft-IIS/8.5,utf8
ebankweb.boaf.gov.tw,,163.29.171.10,,utf8
cert.dgbas.gov.tw,,,,utf8
m.coa.gov.tw,農業行動化平台-田邊好幫手,210.69.75.169,Microsoft-IIS/7.0,utf8
kmweb.coa.gov.tw,"農業知識入口網 －小知識串成的大力量－/",210.69.75.224,Microsoft-IIS/8.5,utf8
www.health.taichung.gov.tw,臺中市政府衛生局,163.29.86.7,Microsoft-IIS/7.5,utf8
www.165.gov.tw,,61.57.47.1,Microsoft-IIS/6.0,utf8
1968.freeway.gov.tw,"高速公路局:即時路況資訊 - 路況圖",210.241.131.247,"Apache/2.2.22 (Ubuntu)",utf8
public.thb.gov.tw,"IIS Windows Server",210.69.58.109,Apache,utf8
suhua.thb.gov.tw,"交通部公路總局蘇花公路改善工程處 Suhua Improveme",210.69.58.153,Apache,utf8
ppstrq.nat.gov.tw,,163.29.187.203,,utf8
lims.thb.gov.tw,,,,utf8
en.swcb.gov.tw,"Soil and Water Conservation Bureau",210.69.127.9,Microsoft-IIS/7.5,utf8
kids.swcb.gov.tw,行政院農業委員會水土保持局兒童網站,210.69.127.3,Microsoft-IIS/7.5,utf8
new.swcb.gov.tw,行政院農業委員會水土保持局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
igee.swcb.gov.tw,水保局GEE展示平台,210.69.127.96,"Apache/2.2.27 (Win32) PHP/5.3.28 mod_ssl/2.2.27 OpenSSL/1.0.1f",utf8
demo1.swcb.gov.tw,行政院農業委員會水土保持局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
learning.swcb.gov.tw,水保學校開學！,117.56.222.145,Microsoft-IIS/7.5,utf8
serv.swcb.gov.tw,行動水保服務,210.69.127.96,"Apache/2.2.27 (Win32) PHP/5.3.28 mod_ssl/2.2.27 OpenSSL/1.0.1f",utf8
mapblog.swcb.gov.tw,農村風情網-主入口網首頁,117.56.222.143,Microsoft-IIS/7.5,utf8
ruralyoung.swcb.gov.tw,"首頁 - 大專生洄游農村",210.69.127.54,Microsoft-IIS/8.5,utf8
swcclassroom.swcb.gov.tw,行政院農委會水土保持局水土保持戶外教室,210.69.127.3,Microsoft-IIS/7.5,big5
mis.swcb.gov.tw,,210.69.127.8,Microsoft-IIS/8.5,utf8
eng1.swcb.gov.tw,一般民眾-行政院農業委員會水土保持局-臺北分局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
eng2.swcb.gov.tw,一般民眾-行政院農業委員會水土保持局-臺中分局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
eng3.swcb.gov.tw,一般民眾-行政院農業委員會水土保持局-南投分局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
eng4.swcb.gov.tw,一般民眾-行政院農業委員會水土保持局-臺南分局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
eng5.swcb.gov.tw,行政院農業委員會水土保持局臺東分局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
eng6.swcb.gov.tw,一般民眾-行政院農業委員會水土保持局-花蓮分局全球資訊網,210.69.127.3,Microsoft-IIS/7.5,big5
swdl.swcb.gov.tw,水土保持法相關法規解釋函檢索系統,117.56.222.188,Microsoft-IIS/7.5,utf8
rlaw.swcb.gov.tw,最新解釋函,117.56.222.173,Microsoft-IIS/7.5,utf8
english.president.gov.tw,"Office of the President, ROC (Taiwan)-Home",117.56.6.12,,utf8
mobile.president.gov.tw,中華民國總統府網站-行動版,117.56.6.14,,utf8
media.president.gov.tw,網路相簿,117.56.6.4,,utf8
ys.nat.gov.tw,青年職涯發展中心,210.71.198.27,Microsoft-IIS/7.5,utf8
ezwp.wda.gov.tw,,223.200.137.9,,utf8
vrs.evta.gov.tw,:::勞動部勞動力發展署身心障礙者職業重建服務專業人員管理應用系統:::,117.56.83.58,Microsoft-IIS/7.5,utf8
ihrip.evta.gov.tw,產業人才投資方案計畫網,163.29.199.196,Apache,utf8
www.kpptr-multi.nat.gov.tw,105年多元就業開發方案網站,203.69.42.104,Microsoft-IIS/7.5,utf8
www.ktec.gov.tw,"高雄市政府勞工局訓練就業中心> 中文版",163.29.248.252,"Apache/2.2.15 (CentOS)",utf8
army.mnd.gov.tw,中華民國陸軍,163.29.3.110,Microsoft-IIS/8.0,utf8
navy.mnd.gov.tw,中華民國海軍,163.29.3.110,Microsoft-IIS/8.0,utf8
air.mnd.gov.tw,中華民國空軍,163.29.3.110,Microsoft-IIS/8.0,utf8
invoice.etax.nat.gov.tw,財政部稅務入口網,117.56.218.87,,utf8
www.ttc.gov.tw,財政部,210.69.109.31,Microsoft-IIS/6.0,big5
www.fnp.gov.tw,財政部國有財產署網站,210.69.164.63,Apache,utf8
web.customs.gov.tw,"首頁 - 財政部關務署",210.69.119.1,Microsoft-IIS/7.0,big5
web02.mof.gov.tw,IIS7,210.69.109.13,Microsoft-IIS/7.5,utf8
web01.mof.gov.tw,建構中,117.56.24.17,Microsoft-IIS/6.0,big5
museum.mof.gov.tw,財政部財政史料陳列室,117.56.24.31,Microsoft-IIS/6.0,big5
festival.hakka.gov.tw,客家節慶,117.56.91.26,Microsoft-IIS/7.5,utf8
www.dual.nat.gov.tw,,163.29.199.238,Apache-Coyote/1.1,utf8
workforce.nat.gov.tw,雲嘉南分署勞動力發展資源網,163.29.225.51,"Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.5.30",utf8
www.yctmepp.nat.gov.tw,"勞動部勞動力發展署雲嘉南分署 多元就業開發方案",163.29.225.56,Microsoft-IIS/7.5,utf8
gpmnet.nat.gov.tw,行政院政府計畫管理資訊網,117.56.91.100,Microsoft-IIS/7.5,utf8
eservice.labor.gov.tw,未命名頁面,210.69.37.121,Microsoft-IIS/6.0,utf8
eval.labor.gov.tw,評量系統,210.69.37.126,Microsoft-IIS/7.0,big5
epropo.labor.gov.tw,網路徵題系統,210.69.37.126,Microsoft-IIS/7.0,big5
cert.labor.gov.tw,"勞動部勞動力發展署技能檢定中心 - 技能職類測驗能力認證系統",210.69.37.60,Microsoft-IIS/8.5,utf8
wcfext.wda.gov.tw,專業外國人工作許可案件申辦進度查詢,223.200.137.11,Apache-Coyote/1.1,big5
icap.evta.gov.tw,首頁/最新消息-iCAP職能發展應用平台,163.29.199.181,Microsoft-IIS/7.5,utf8
www.vtu.nat.gov.tw,,,,utf8
ttqs.evta.gov.tw,人才發展品質管理系統-首頁,163.29.199.161,Microsoft-IIS/7.5,utf8
hrdinnoprize.evta.gov.tw,,,,utf8
www.moeasmea.gov.tw,歡迎光臨經濟部中小企業處,210.69.162.130,Microsoft-IIS/7.5,utf8
training.evta.nat.gov.tw,,,,utf8
www2.wda.gov.tw,"就業好伙伴 電子報月刊 /「就業安全」半年刊",117.56.83.23,Microsoft-IIS/6.0,big5
www.dois.moea.gov.tw,"歡迎蒞臨 經濟部投資業務處",210.69.121.30,Microsoft-IIS/7.0,big5
www.etraining.gov.tw,,124.199.93.215,,utf8
gofun.wda.gov.tw,多元購好玩網站,163.29.199.205,Microsoft-IIS/7.5,utf8
beboss.cla.gov.tw,,,,utf8
serving.eastcoast-nsa.gov.tw,觀光局東部海岸國家風景區行政資訊網,211.79.201.3,,utf8
travelmasters.eastcoast-nsa.gov.tw,東海岸旅遊達人,211.79.201.3,,utf8
www.wac.gov.tw,衛武營藝術文化中心籌備處,210.69.147.4,Apache,big5
csinfo.exam.gov.tw,文官資訊服務網,163.29.132.4,Microsoft-IIS/6.0,utf8
www.pension.gov.tw,公務人員退休撫卹基金監理委員會,163.29.132.61,Microsoft-IIS/8.5,utf8
flu.cdc.gov.tw,,,,utf8
m.nacs.gov.tw,國家文官學院,210.241.81.52,Microsoft-IIS/7.5,utf8
www.nacs.gov.tw,國家文官學院,210.241.81.21,Microsoft-IIS/6.0,big5
tis.nacs.gov.tw,,210.241.81.3,,utf8
emap3.nlsc.gov.tw,Redirect,210.69.91.9,Microsoft-IIS/8.0,utf8
www.gsp.gov.tw,e政府服務平臺營運中心網站,117.56.91.229,Microsoft-IIS/7.5,big5
el.ndppc.nat.gov.tw,防救災學習網,210.69.173.160,"Apache/1.3.41 (Unix) DAV/1.0.3-WM20050131",utf8
elearning.ndppc.nat.gov.tw,內政部消防署-防救災數位學習網,124.199.65.72,Microsoft-IIS/6.0,big5
rvis.mohw.gov.tw,衛生福利部重大災害民生物資及志工人力整合網路平台,203.65.97.70,Apache,utf8
vol.moi.gov.tw,,,,utf8
service.etax.nat.gov.tw,稅務入口網,117.56.219.80,,utf8
search.dot.gov.tw,,61.57.40.8,"ORIS HTTP Server",utf8
tax.nat.gov.tw,歡迎光臨財政部電子申報繳稅服務,210.61.79.81,Apache,big5
paytax.nat.gov.tw,,60.250.165.40,,utf8
eip.kmc.gov.tw,,,,utf8
www.klccab.gov.tw,基隆市文化局,117.56.233.245,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1c PHP/5.3.17",utf8
tour.klcg.gov.tw,基隆旅遊網,117.56.180.162,Microsoft-IIS/7.5,utf8
councilor.tcc.gov.tw,"臺北市議會 - 議員入口網",210.69.176.11,Microsoft-IIS/7.5,utf8
video.tcc.gov.tw,"議場直播 - 臺北市議會影音資訊網",210.69.176.6,Microsoft-IIS/7.5,utf8
tccmis.tcc.gov.tw,"臺北市議會 議事資訊系統",210.69.176.249,Microsoft-IIS/6.0,big5
tcckm.tcc.gov.tw,"Apache Tomcat",210.69.176.245,Apache-Coyote/1.1,utf8
tcc9909.tcc.gov.tw,臺北市議會應曉薇議員官方網站,210.69.176.11,Microsoft-IIS/7.5,utf8
tcc10309.tcc.gov.tw,臺北市議員林亭君,210.69.176.11,Microsoft-IIS/7.5,utf8
tcc0721.tcc.gov.tw,周柏雅議員新聞中心,210.69.176.11,Microsoft-IIS/7.5,utf8
tcc10308.tcc.gov.tw,臺北市議員陳炳甫,210.69.176.11,Microsoft-IIS/7.5,utf8
www.audit.gov.tw,,210.69.132.6,Apache,utf8
library.tcc.gov.tw,圖書館,210.69.176.20,Microsoft-IIS/7.5,utf8
wwwintra.tcc.gov.tw,會內專區Login,210.69.176.212,Microsoft-IIS/7.5,utf8
webmail.tcc.gov.tw,,210.69.176.213,,utf8
eweb.ntp.gov.tw,"新北市議會 - Welcome",163.29.134.172,"Apache/2.2.25 (Win32) mod_antiloris/0.5.2 mod_jk/1.2.37",utf8
ims.ntp.gov.tw,,163.29.134.170,Microsoft-IIS/7.5,utf8
nopam.tycc.gov.tw,,163.29.2.11,"Apache/2.2.29 (FreeBSD) mod_ssl/2.2.29 OpenSSL/1.0.1j DAV/2",utf8
www.hsinchu.gov.tw,"希望亮麗科技城 新竹縣政府 Hsinchu Government",163.29.185.55,Apache,utf8
www.cec.gov.tw,,117.56.68.26,Apache,utf8
www.changbin.gov.tw,臺東縣長濱鄉公所,117.56.143.242,Apache,big5
ep.chcc.gov.tw,彰化縣議會全球資訊網,210.241.56.9,Microsoft-IIS/6.0,utf8
travel.nantou.gov.tw,南投旅遊網,210.69.126.23,Microsoft-IIS/7.5,utf8
www.nantou.gov.tw,"南投縣政府 Nantou County Government",210.69.126.6,Microsoft-IIS/8.5,utf8
www.old.moj.gov.tw,--傳統工藝傳承--,163.29.130.148,Microsoft-IIS/7.5,utf8
www.shop.moj.gov.tw,矯正機關自營產品展售商城,163.29.130.166,Microsoft-IIS/7.5,utf8
www.iv.moj.gov.tw,"未命名 1",163.29.130.179,Microsoft-IIS/6.0,utf8
www.gandau.gov.tw,臺北市立關渡醫院,211.79.145.130,Microsoft-IIS/7.0,big5
history.vghtpe.gov.tw,臺北榮民總醫院數位院史館,203.64.249.214,"Apache/2.4.4 (Win32) OpenSSL/0.9.8y PHP/5.4.16",utf8
wd.vghtpe.gov.tw,test,203.64.249.14,Apache-Coyote/1.1,utf8
www1.vghtpe.gov.tw,"臺北榮民總醫院 招募公告",203.64.249.20,Microsoft-IIS/7.0,big5
wi.vghtpe.gov.tw,,,,utf8
vhs.vghtpe.gov.tw,榮民醫療體系-北部區域管理會,203.64.249.15,Apache,utf8
www6.vghtpe.gov.tw,,203.64.249.21,,utf8
www7.vghtpe.gov.tw,臺北榮民總醫院藥品資料暨外觀查詢系統,203.64.249.104,Microsoft-IIS/7.0,big5
cvs.vghtpe.gov.tw,台北榮民總醫院心臟血管外科,203.64.249.199,,utf8
guweb.vghtpe.gov.tw,臺北榮民總醫院泌尿部網站,203.64.249.207,Microsoft-IIS/7.5,utf8
homepage.vghtpe.gov.tw,臺北榮民總醫院,203.64.246.34,Apache-Coyote/1.1,utf8
phys.vghtpe.gov.tw,首頁,203.64.249.16,Microsoft-IIS/7.5,utf8
vghcsm.vghtpe.gov.tw,臺北榮總睡眠醫學中心,203.64.249.199,Microsoft-IIS/7.5,utf8
ezbiomed.vghtpe.gov.tw,ezBioMed,203.64.249.199,Microsoft-IIS/7.5,utf8
tyvh21.tyvh.gov.tw,"臺北榮民總醫院 桃園分院",163.29.142.31,Microsoft-IIS/7.0,big5
medicall.tyvh.gov.tw,台北榮民總醫院-桃園分院-診間進度查詢系統,61.60.70.130,Apache,utf8
ms1.tyvh.gov.tw,,163.29.142.4,"Apache/2.2.23 (FreeBSD) DAV/2",utf8
webreg.vhct.gov.tw,臺北榮民總醫院新竹分院,117.56.164.26,nginx/1.10.1,big5
www.ysvh.gov.tw,臺北榮總蘇澳暨員山分院入口網,210.241.3.65,Apache,big5
register.vhyl.gov.tw,玉里榮民醫院網路掛號,210.241.10.141,Microsoft-IIS/6.0,big5
malanpa.nat.gov.tw,馬蘭健康快樂服務園區,210.241.10.248,"Apache/2.2.21 (Unix)",big5
registry.pulivh.gov.tw,"臺中榮民總醫院 埔里分院",61.221.102.83,Microsoft-IIS/6.0,big5
intranet.vghks.gov.tw,,,,utf8
isca.vghks.gov.tw,,203.68.94.2,Apache,utf8
www3.vghks.gov.tw,"IBM HTTP Server",203.68.94.147,IBM_HTTP_Server,utf8
webreg.vghks.gov.tw,使用說明,203.68.94.79,IBM_HTTP_Server,utf8
cms03p.vghks.gov.tw,建構中,203.68.94.19,Microsoft-IIS/6.0,big5
hos01p.vghks.gov.tw,,203.68.94.134,,utf8
tpmr.moj.gov.tw,"法務部More法狀元 關於我們",163.29.130.142,Microsoft-IIS/7.5,utf8
cwrp.moi.gov.tw,,,,utf8
hca.nat.gov.tw,"HCA 2.0 專屬網站",203.65.114.21,Microsoft-IIS/7.5,utf8
www.health99.doh.gov.tw,,,,utf8
reg.vhyk.gov.tw,高雄榮民總醫院臺南分院,203.68.95.70,Microsoft-IIS/6.0,big5
www.doh.gov.tw,,,,utf8
vhnet.vghtpe.gov.tw,,203.64.249.101,Apache,utf8
www.cpc.gov.tw,,,,utf8
category.www.gov.tw,e政府服務平臺營運中心網站,117.56.91.229,Microsoft-IIS/7.5,big5
www.banking.gov.tw,銀行局全球資訊網,163.29.133.23,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e mod_jk/1.2.37",utf8
www.sfb.gov.tw,證期局全球資訊網,163.29.133.24,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e mod_jk/1.2.37",utf8
www.feb.gov.tw,檢查局全球資訊網,163.29.133.26,"Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.1e mod_jk/1.2.37",utf8
fscmail.fsc.gov.tw,金管會民意電子信箱,163.29.181.164,Microsoft-IIS/7.5,big5
law.fsc.gov.tw,金融監督管理委員會-主管法規查詢系統(外部版),163.29.181.173,Microsoft-IIS/7.5,utf8
history.fsc.gov.tw,金融監督管理委員會金融史料陳列室,163.29.133.50,Microsoft-IIS/7.5,utf8
law.banking.gov.tw,"&#37329;&#34701;&#27861;&#35215;&#20840;&#25991;&#27298;&#32034;&#26597;&#35426;&#31995;&#32113; - &#26368;&#26032;&#35338;&#24687;",210.69.116.88,,utf8
research.fsc.gov.tw,金融研究資源整合平台,163.29.181.178,Microsoft-IIS/6.0,utf8
moneywise.fsc.gov.tw,金融智慧網,163.29.181.178,Microsoft-IIS/6.0,utf8
elearning.feb.gov.tw,"首頁 - 金檢知識網",163.29.133.40,Apache-Coyote/1.1,utf8
hr.fsc.gov.tw,,163.29.133.42,,utf8
kssa.ks.gov.tw,高雄市政府資料比對系統登入,210.69.27.202,Apache-Coyote/1.1,utf8
safesex.kcg.gov.tw,高雄市政府社會局家庭暴力及性侵害防治中心,163.29.241.186,"Apache/2.2.3 (CentOS)",utf8
cwsc.kcg.gov.tw,高雄市政府社會局兒童福利服務中心,163.29.241.186,"Apache/2.2.3 (CentOS)",utf8
senior.kcg.gov.tw,《高雄市政府社會局長青綜合服務中心》現在位置：首頁,163.29.241.186,"Apache/2.2.3 (CentOS)",big5
barrier-free.kcg.gov.tw,高雄市政府社會局無障礙之家,163.29.241.186,"Apache/2.2.3 (CentOS)",utf8
lovehome.kcg.gov.tw,高雄市政府社會局仁愛之家綜合服務網,163.29.241.183,Microsoft-IIS/7.5,utf8
www.play.gov.tw,"高雄市政府 社會局婦幼青少年活動中心",211.22.202.159,Microsoft-IIS/10.0,utf8
childcare.kcg.gov.tw,雄愛生囝仔‧FUN心育兒資源網_首頁,163.29.241.183,Microsoft-IIS/7.5,utf8
www.freeway.gov.tw,"交通部臺灣區國道高速公路局 首頁",210.69.213.3,,utf8
www.railway.gov.tw,歡迎光臨交通部台灣鐵路局全球資訊網,163.29.186.138,,big5
www.caa.gov.tw,歡迎光臨交通部民用航空局首頁,210.241.93.137,Microsoft-IIS/6.0,utf8
its.taipei.gov.tw,臺北市即時交通資訊網,163.29.39.132,Microsoft-IIS/8.5,utf8
atis.ntpc.gov.tw,新北市即時交通資訊網,61.60.98.240,,utf8
e-traffic.taichung.gov.tw,台中市即時交通資訊網,210.65.139.52,Apache-Coyote/1.1,utf8
traffic.kctmc.nat.gov.tw,高雄市即時交通資訊服務網,61.60.92.51,Apache-Coyote/1.1,utf8
www.dcsd.taipei.gov.tw,臺北市政府公務人員訓練處,163.29.36.96,Microsoft-IIS/7.5,utf8
civil.bsmi.gov.tw,,210.69.140.17,Apache-Coyote/1.1,utf8
comments.bsmi.gov.tw,"經濟部標準檢驗局 國家標準審議平台",210.69.140.11,,utf8
mims.bsmi.gov.tw,,210.69.140.5,,utf8
